pH_treatment,Species,blank.rate,FileName,Intercept,umol.L.sec,Temp.C,block,experiment,tank,temp_treatment,predator,ID,BLANK,start.time,stop.time,volume,dry_weight,wet_weight,TA.start,TA.stop,dry_shell_weight,initial_wet_weight,umol.sec,umol.sec.corr,Respiration,NetPhoto,GrossPhoto
7.2,Rockweed,-1.53E-05,RW_T1_1_Dark_20240428_O2,229.3914441,-0.003639389,19.5597931,S1,a,1,20,p,1,0,6:58:00,7:29:00,648,0.7209,2.551,NA,NA,NA,NA,-0.002358324,-0.002343017,11.70045729,45.12187476,56.82233204
7.2,Rockweed,-1.53E-05,RW_T1_2_Dark_20240428_O2,231.8765891,-0.002953432,19.79970115,S1,a,1,20,c,2,0,6:58:00,7:29:00,648,0.4412,1.5503,NA,NA,NA,NA,-0.001913824,-0.001898516,15.49106793,27.72342287,43.2144908
7.2,Rockweed,-1.53E-05,RW_T1_3_Dark_20240428_O2,231.7858863,-0.006016247,19.85941379,S1,a,1,20,p,3,0,6:58:00,7:29:00,648,0.8427,2.546,NA,NA,NA,NA,-0.003898528,-0.003883221,16.58905186,44.13193001,60.72098187
7.2,Rockweed,-1.53E-05,RW_T1_4_Dark_20240428_O2,182.3598794,-0.003613746,19.62736782,S1,a,1,20,c,4,0,6:58:00,7:29:00,648,0.7373,2.6324,NA,NA,NA,NA,-0.002341707,-0.0023264,11.35906642,35.11186942,46.47093584
7.2,Rockweed,-1.53E-05,RW_T1_5_Dark_20240428_O2,190.5304906,-0.00367849,19.89170115,S1,a,1,20,p,5,0,6:58:00,7:29:00,646,0.8386,2.7575,NA,NA,NA,NA,-0.002376305,-0.002360997,10.13545116,27.53376128,37.66921244
7.2,Rockweed,-1.53E-05,RW_T1_6_Dark_20240428_O2,238.5839634,-0.004820846,19.74712644,S1,a,1,20,c,6,0,6:58:00,7:29:00,642.5,0.6767,2.6057,NA,NA,NA,NA,-0.003097394,-0.003082086,16.39649741,24.47004939,40.86654681
7.2,Rockweed,-1.53E-05,RW_T11_61_Dark_20240613_O2,228.4375158,-0.002547437,16.30083051,S106,b,11,16,p,61,0,10:39:00,11:01:00,649,0.6306,1.8695,NA,NA,NA,NA,-0.001653287,-0.001637979,9.350974955,51.86764757,61.21862253
7.2,Rockweed,-1.53E-05,RW_T11_62_Dark_20240613_O2,256.8183103,-0.004978658,16.33783051,S106,b,11,16,p,62,0,10:39:00,11:01:00,648,0.8158,2.8174,NA,NA,NA,NA,-0.00322617,-0.003210863,14.16904435,39.55225136,53.72129571
7.2,Rockweed,-1.53E-05,RW_T11_63_Dark_20240613_O2,206.1708578,-0.002943249,16.32338983,S106,b,11,16,p,63,0,10:39:00,11:01:00,648,0.5083,1.8745,NA,NA,NA,NA,-0.001907225,-0.001891918,13.39937885,74.12395901,87.52333785
7.2,Rockweed,-1.53E-05,RW_T11_64_Dark_20240613_O2,212.0949001,-0.003397226,16.43561017,S106,b,11,16,c,64,0,10:39:00,11:01:00,647.5,0.8568,3.1291,NA,NA,NA,NA,-0.002199704,-0.002184396,9.178135861,57.99724134,67.17537721
7.2,Rockweed,-1.53E-05,RW_T11_65_Dark_20240613_O2,263.7749213,-0.004959321,16.26613559,S106,b,11,16,c,65,0,10:39:00,11:01:00,648.5,0.5159,1.5848,NA,NA,NA,NA,-0.00321612,-0.003200812,22.33557629,42.61513165,64.95070794
7.2,Rockweed,-1.53E-05,RW_T11_66_Dark_20240613_O2,247.6616217,-0.003506984,16.20220339,S106,b,11,16,c,66,0,10:39:00,11:01:00,648,0.4967,1.8292,NA,NA,NA,NA,-0.002272526,-0.002257218,16.3599462,96.71787713,113.0778233
7.2,Rockweed,-1.53E-05,RW_T12_67_Dark_20240429_O2,197.8778835,-0.004563995,16.23442697,S12,a,12,16,c,67,0,0:46:00,1:17:00,646,0.8725,3.2255,NA,NA,NA,NA,-0.002948341,-0.002933033,12.10191378,36.5972857,48.69919948
7.2,Rockweed,-1.53E-05,RW_T12_68_Dark_20240429_O2,204.6344435,-0.003870561,16.33147191,S12,a,12,16,p,68,0,0:46:00,1:17:00,648,0.9923,3.2647,NA,NA,NA,NA,-0.002508124,-0.002492816,9.043774767,18.01800058,27.06177535
7.2,Rockweed,-1.53E-05,RW_T12_69_Dark_20240429_O2,218.8230472,-0.00434964,16.32966292,S12,a,12,16,c,69,0,0:46:00,1:17:00,646,0.8608,2.8302,NA,NA,NA,NA,-0.002809867,-0.00279456,11.68728599,41.67242808,53.35971407
7.2,Rockweed,-1.53E-05,RW_T12_70_Dark_20240429_O2,249.4390099,-0.007408776,16.36944944,S12,a,12,16,p,70,0,0:46:00,1:17:00,648,0.7597,2.6975,NA,NA,NA,NA,-0.004800887,-0.004785579,22.67748539,73.85925671,96.5367421
