date,experiment,ID,tank,sample_type,TA,water_mass,tank_exp,TA_initial,mean.blanks,pH_treatment,temp_treatment,volume,wet_weight,dry_weight,TA.start,TA.stop,deltaTA,timediff,umol.cm2.hr
20240521,a,1,12:00 AM,NA,2415.697793,59.889,12:00 AM,2408.111679,-7.0016485,7.2,16,0.1145,2.6701,0.1214,2025-06-18T00:23:00Z,2025-06-18T01:56:00Z,-0.584465167,1.55,-0.182266815
20240521,a,60,12:00 AM,NA,2418.514083,59.8881,12:00 AM,2408.111679,-7.0016485,7.2,16,0.1145,2.146,0.0319,2025-06-18T00:25:00Z,2025-06-18T01:55:00Z,-3.400755167,1.5,-4.170544705
20240521,a,75,12:00 AM,NA,2431.942891,60.0747,12:00 AM,2408.111679,-7.0016485,7.2,16,0.115,1.6288,0.0294,2025-06-18T00:26:00Z,2025-06-18T01:51:00Z,-16.82956317,1.416666667,-23.81494308
20240528,a,56,1:00 AM,NA,2441.606049,60.2726,1:00 AM,2429.844726,8.464482,7.2,20,0.115,2.1513,0.0661,2025-06-18T12:30:00Z,2025-06-18T14:01:00Z,-20.225805,1.516666667,-11.890659
20240528,a,64,1:00 AM,NA,2455.67215,59.9341,1:00 AM,2429.844726,8.464482,7.2,20,0.115,2.6523,0.0429,2025-06-18T12:32:00Z,2025-06-18T14:05:00Z,-34.291906,1.55,-30.39445387
20240528,a,69,1:00 AM,NA,2452.555372,59.9824,1:00 AM,2429.844726,8.464482,7.2,20,0.115,1.6639,0.0296,2025-06-18T12:33:00Z,2025-06-18T14:06:00Z,-31.175128,1.55,-40.04760476
20240528,a,3,13 a,NA,2423.066555,59.9633,13 a,2429.745007,8.675345083,8,20,0.115,2.3898,0.0445,2025-06-18T16:00:00Z,2025-06-18T17:27:00Z,-1.996893417,1.45,-1.823973743
20240528,a,15,13 a,NA,2411.991425,60.1519,13 a,2429.745007,8.675345083,8,20,0.115,1.7951,0.1149,2025-06-18T16:02:00Z,2025-06-18T17:30:00Z,9.078236583,1.466666667,3.174985572
20240528,a,59,13 a,NA,2409.548232,60.4729,13 a,2429.745007,8.675345083,8,20,0.115,2.2136,0.0451,2025-06-18T16:05:00Z,2025-06-18T17:31:00Z,11.52142958,1.433333333,10.50447465
20240528,a,8,18 a,NA,2422.516571,59.8124,18 a,2418.666804,1.259941583,8,16,0.12,2.1306,0.0339,2025-06-18T06:37:00Z,2025-06-18T08:30:00Z,-5.109709083,1.883333333,-4.922031618
20240528,a,11,18 a,NA,2424.638169,59.8375,18 a,2418.666804,1.259941583,8,16,0.1205,2.1805,0.041,2025-06-18T06:38:00Z,2025-06-18T08:35:00Z,-7.231307083,1.95,-5.585721177
20240528,a,37,18 a,NA,2420.5584,59.9561,18 a,2418.666804,1.259941583,8,16,0.121,2.022,0.0476,2025-06-18T06:35:00Z,2025-06-18T08:39:00Z,-3.151538083,2.066666667,-1.986663954
