date,tank,sample_type,SampleID,TA,water_mass,TA_initial,mean.blanks,ID,pH_treatment,temp_treatment,volume,TA.start,TA.stop,deltaTA,timediff,umol.hr
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S1,2007.747569,60.3041,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-90.963502,1.416666667,-3.784349223
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S1,2007.747569,60.3041,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-90.963502,1.416666667,-3.784349223
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S2,2012.092773,60.0516,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-95.308706,1.416666667,-3.965122489
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S2,2012.092773,60.0516,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-95.308706,1.416666667,-3.965122489
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S3,2006.996105,59.9095,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-90.212038,1.416666667,-3.75308611
###############################################################################################################################################################################################################################################################,2,Initial,T2_initial_S3,2006.996105,59.9095,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-90.212038,1.416666667,-3.75308611
###############################################################################################################################################################################################################################################################,2,NA,T2_Teg,2040.40816,59.8162,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-123.624093,1.416666667,-5.143125869
###############################################################################################################################################################################################################################################################,2,NA,T2_Teg,2040.40816,59.8162,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-123.624093,1.416666667,-5.143125869
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S1,1949.583408,59.7492,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,7.890742,1.416666667,0.328278075
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S1,1949.583408,59.7492,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,7.890742,1.416666667,0.328278075
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S2,2007.14532,60.246,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-49.67117,1.416666667,-2.066466764
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S2,2007.14532,60.246,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-49.67117,1.416666667,-2.066466764
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S3,2018.465741,60.2114,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-60.991591,1.416666667,-2.537429573
###############################################################################################################################################################################################################################################################,4,Initial,T4_initial_S3,2018.465741,60.2114,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-60.991591,1.416666667,-2.537429573
###############################################################################################################################################################################################################################################################,4,NA,T4_Teg,1984.233657,60.3677,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-26.759507,1.416666667,-1.113274196
###############################################################################################################################################################################################################################################################,4,NA,T4_Teg,1984.233657,60.3677,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-26.759507,1.416666667,-1.113274196
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S1,1945.04839,60.1629,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-40.882491,1.416666667,-1.700831868
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S1,1945.04839,60.1629,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-40.882491,1.416666667,-1.700831868
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S2,2009.607816,59.6263,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-105.441917,1.416666667,-4.38669387
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S2,2009.607816,59.6263,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-105.441917,1.416666667,-4.38669387
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S3,1959.430898,59.7436,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-55.264999,1.416666667,-2.299186503
###############################################################################################################################################################################################################################################################,5,Initial,T5_initial_S3,1959.430898,59.7436,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-55.264999,1.416666667,-2.299186503
###############################################################################################################################################################################################################################################################,5,NA,T5_Teg,2054.068478,60.0751,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-149.902579,1.416666667,-6.236388176
###############################################################################################################################################################################################################################################################,5,NA,T5_Teg,2054.068478,60.0751,1971.362368,67.196469,NA,7.7,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-149.902579,1.416666667,-6.236388176
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S1,2010.351247,59.767,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-110.537507,1.416666667,-4.598685402
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S1,2010.351247,59.767,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-110.537507,1.416666667,-4.598685402
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S2,2009.631767,59.9022,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-109.818027,1.416666667,-4.568752917
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S2,2009.631767,59.9022,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-109.818027,1.416666667,-4.568752917
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S3,1996.128314,59.8879,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-96.314574,1.416666667,-4.006969557
###############################################################################################################################################################################################################################################################,6,Initial,T6_initial_S3,1996.128314,59.8879,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-96.314574,1.416666667,-4.006969557
###############################################################################################################################################################################################################################################################,6,NA,T6_Teg,2053.651016,60.1269,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-153.837276,1.416666667,-6.400083144
###############################################################################################################################################################################################################################################################,6,NA,T6_Teg,2053.651016,60.1269,2005.370443,105.5567027,NA,7.9,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,-153.837276,1.416666667,-6.400083144
###############################################################################################################################################################################################################################################################,2,Blank,T2_blank,1916.784067,60.3275,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,0,1.416666667,0
###############################################################################################################################################################################################################################################################,2,Blank,T2_blank,1916.784067,60.3275,2008.945482,92.16141533,NA,7.4,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,0,1.416666667,0
###############################################################################################################################################################################################################################################################,4,Blank,T4_blank,1957.47415,60.0214,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,0,1.416666667,0
###############################################################################################################################################################################################################################################################,4,Blank,T4_blank,1957.47415,60.0214,1991.73149,34.25733967,NA,7.3,16,0.115,2025-07-16T09:30:00Z,2025-07-16T10:55:00Z,0,1.416666667,0
