Sampling_Date,Sampling_Time,Day_Night,Benthos,NO3,PO4,SIL,NO2,NH4,BEUTI_33,BEUTI_34,BEUTI_35
4/3/2024,6:15:00,Dawn,Open Ocean,4.58,0.63,8.1,0.15,1.47,1.015,2.574,2.913
4/4/2024,6:35:00,Dawn,Open Ocean,3.25,0.65,7.1,0.15,1.27,1.848,4.735,7.238
4/8/2024,19:15:00,Dusk,Open Ocean,6.35,0.67,10.2,0.34,2.49,3.118,12.889,16.995
4/8/2024,19:19:00,Dusk,Open Ocean,5.69,0.62,10.6,0.39,1.65,3.118,12.889,16.995
4/9/2024,19:34:00,Dusk,Open Ocean,9.64,1.03,16.3,0.42,3.08,2.726,7.421,13.092
4/10/2024,20:01:00,Dusk,Open Ocean,6.17,0.91,14.8,0.31,1.35,1.057,1.067,6.865
4/11/2024,20:24:00,Dusk,Open Ocean,8.29,0.85,13.2,0.36,1.21,1.68,3.16,7.189
4/16/2024,5:54:00,Dawn,Open Ocean,2.2,0.46,6.3,0.21,0.9,2.998,9.071,15.421
4/16/2024,6:05:00,Dawn,Open Ocean,7.54,0.55,6.7,0.24,1.51,2.998,9.071,15.421
4/17/2024,6:20:00,Dawn,Open Ocean,5.77,0.57,5.2,0.16,1.65,2.314,4.553,9.222
4/18/2024,6:17:00,Dawn,Open Ocean,4.08,0.63,5.4,0.18,1.35,0.812,0.108,4.769
4/19/2024,6:16:00,Dawn,Open Ocean,4.79,0.74,5.5,0.15,2.43,1.232,2.92,4.531
4/20/2024,6:37:00,Dawn,Open Ocean,5.65,1.07,6.9,0.27,11.84,1.604,6.569,5.111
4/27/2024,19:46:00,Dusk,Open Ocean,7.59,0.95,14.3,0.37,1.52,5.157,21.085,23.775
4/28/2024,19:31:00,Dusk,Open Ocean,2.04,0.62,8,0.14,2.09,3.504,16.862,33.284
4/29/2024,20:12:00,Dusk,Open Ocean,0.95,0.54,6.3,0.11,1.19,1.581,17.376,39.042
5/1/2024,5:00:00,Dawn,Open Ocean,2.47,0.5,3.2,0.13,1.54,1.239,21.742,58.088
5/2/2024,6:15:00,Dawn,Open Ocean,7.16,0.49,6,0.11,0.96,0.656,14.105,42.27
5/2/2024,19:34:00,Dusk,Open Ocean,2.3,0.52,6.2,0.12,1.16,0.656,14.105,42.27
5/4/2024,6:09:00,Dawn,Open Ocean,2.69,0.65,7.7,0.17,1.53,1.627,10.467,21.207
5/5/2024,6:20:00,Dawn,Open Ocean,4.26,0.59,11.5,0.21,1.39,2.741,13.913,21.625
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
